# example/coefficients.csv: the fitted model, one line per group.
# Columns: GROUP,Intercept,<one column per term, in the model's order>.
# Add a term by adding a column here and in the training file; nothing in
# the program has to change.
#
# THESE NUMBERS ARE SYNTHETIC: generated for the example, fitted to nothing.
# Point coef.file at your own table (or produce one with `linearr -t`) before
# any of this means anything.
group,intercept,Cardioversion,Cell_saver,Chemotherapy,Dialysis,Heart_resuscitation,Mech_vent_ge_96_hours,mech_vent,Feeding_tube,Paracentesis,Parenteral_nutrition,Pleurocentesis,Radiotherapy,Tracheostomy,Vascular_access_device,multiple_ie_2ormore,multiple_ie_3ormore,icu_indicator,hc_dad,age_under1,age_under18,age_60plus,age_80plus,obs_gt40,ooh
001,6.4832,6.0308,0,15.9985,0,0,1.3072,0,0,0,0,0,0,14.3083,0,0,0,7.4471,0,2.454,0,0,0,10.9178,0
002,5.1512,0,0,0,0,10.8937,0,0,0,15.7777,0,12.742,0,0,0,0,9.8305,0,0,0,10.5889,0,0,2.8144,9.1841
003,6.803,7.798,0,0,0,0,0,0,0,0,1.1602,10.8931,3.4662,0,0,0,0,11.9796,0,0,0,0,5.6711,3.302,0
004,4.4585,0,0,13.4813,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4877,0,2.1192,0,6.2872,0,0,4.5447
005,3.5397,0,0,0,15.138,7.3866,0,1.6863,7.7113,12.1465,14.6762,0,8.7854,0,10.247,0,0,0,0,0,0,0,0,10.5666,0
006,2.4969,8.7365,0,9.0737,0,0,0,0,0,0,0,0,0,0,9.3839,0,0,0,0,7.716,0,14.356,0,0,0
007,8.0099,0,0,0,0,0,1.5732,0,0,0,3.9594,13.8675,8.7858,0,13.0425,0,0,0,0,0,0,1.0335,0,15.8675,7.9318
008,2.7825,3.7877,0,0,0,4.131,0,0,3.9163,0,0,0,2.8396,10.7877,1.9611,12.3537,11.9807,0,0,0,0,9.2746,0,0,13.624
009,2.6944,0,7.8203,6.9837,0,0,0,0,0,0,0,0,0,9.8771,0,7.5133,0,0,10.9313,10.1431,0,0,0,1.5333,0
010,7.8759,13.8012,0,0,0,0,1.7074,9.5686,0,0,11.7819,5.6708,0,0,0,0,0,0,0,0,0,0,0,0,0
011,6.6197,0,0,8.4427,0,13.6531,0,5.1919,0,12.8572,0,0,0,0,0,0,0,12.9636,0,3.765,0,0,0,0,10.2499
012,7.6045,0,0,2.3032,8.0229,0,0,0,12.282,0,0,0,0,1.2399,0.8354,0,3.4457,0,0,0,0,7.9848,0,9.2962,0
