# example/nearly-the-same.csv: x2 differs from x1 in the sixth decimal.
# The true relation is 1 + 2*x1 + 3*x2. Forming the cross-products before
# solving costs about half the significant digits, so the fit returns
# 2.00002 and 2.99998 and reports cond=. Piece three.
group,value,x1,x2
A,6,1,1
A,6.050003,1.01,1.010001
A,6.1,1.02,1.02
A,6.150003,1.03,1.030001
A,6.2,1.04,1.04
A,6.250003,1.05,1.050001
A,6.3,1.06,1.06
A,6.350003,1.07,1.070001
A,6.4,1.08,1.08
A,6.450003,1.09,1.090001
A,6.5,1.1,1.1
A,6.550003,1.11,1.110001
A,6.6,1.12,1.12
A,6.650003,1.13,1.130001
A,6.7,1.14,1.14
A,6.750003,1.15,1.150001
A,6.8,1.16,1.16
A,6.850003,1.17,1.170001
A,6.9,1.18,1.18
A,6.950003,1.19,1.190001
A,7,1.2,1.2
A,7.050003,1.21,1.210001
A,7.1,1.22,1.22
A,7.150003,1.23,1.230001
A,7.2,1.24,1.24
A,7.250003,1.25,1.250001
A,7.3,1.26,1.26
A,7.350003,1.27,1.270001
A,7.4,1.28,1.28
A,7.450003,1.29,1.290001
A,7.5,1.3,1.3
A,7.550003,1.31,1.310001
A,7.6,1.32,1.32
A,7.650003,1.33,1.330001
A,7.7,1.34,1.34
A,7.750003,1.35,1.350001
A,7.8,1.36,1.36
A,7.850003,1.37,1.370001
A,7.9,1.38,1.38
A,7.950003,1.39,1.390001
